Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength,name,status
518.8087,149620,left,1,-97.6016,164.1213,42.81255,104.2589,-491.673,-55.42755,2.939312,0.04586717,1.661706,-166.7207,164.832,27.58547,-378.1662,65.8933,-69.90282,0,0.7418553,0,15.67167,226.2064,20.2647,34.26665,-195.2147,-35.04302,0.2709872,-0.01763496,-0.2778003,46.88831,207.3548,86.23589,203.8337,49.33507,237.4553,0,0.2063894,0,evyatar,alone
518.8252,149622,left,1,-95.78062,157.6353,42.18084,148.9683,-351.7386,-36.32422,2.294397,0.07413187,1.623222,-165.4907,155.6419,29.71037,-380.3233,52.92441,-55.71872,0,0.8279163,0,16.24119,222.9389,20.11781,36.16443,-180.0939,-4.052799,0.2450849,-0.0147698,-0.2777627,47.54861,205.6568,86.4225,203.9553,47.88272,238.4482,0,0.2430498,0,evyatar,alone
518.8418,149623,left,1,-94.3936,154.6338,41.93171,161.6958,-349.9117,-29.04277,1.962658,0.0869325,1.602898,-164.3658,151.5701,31.05059,-381.7444,48.55032,-47.27909,0,0.9204006,0,16.72461,220.9709,19.94972,26.35298,-95.08819,-11.15762,0.230796,-0.008779264,-0.278792,48.1503,204.5182,86.35149,204.6231,45.35921,236.8544,0,0.2811337,0,evyatar,alone
518.8587,149625,left,1,-92.02553,150.6723,42.10119,117.3475,-187.1781,24.42598,1.54556,0.1248186,1.567605,-162.2663,144.6214,33.94577,-383.4688,40.27151,-30.72728,0,1.034603,0,17.09016,219.7124,19.67679,19.46804,-61.75518,-21.30378,0.2176809,-0.01075909,-0.279768,48.64175,203.9989,86.16056,204.9939,44.18692,236.0927,0,0.2776912,0,evyatar,alone
518.8749,149627,left,1,-89.31953,148.1826,42.67065,155.3344,-135.6337,35.87055,1.377898,0.1678551,1.53592,-159.4586,138.6087,36.68195,-381.0906,29.07133,-17.01065,0,1.166705,0,17.46017,219.3652,19.13128,21.94964,-8.355943,-35.08179,0.220696,-0.01738021,-0.2786289,48.93135,203.3777,85.59017,204.5952,42.68003,235.2896,0,0.2830082,0,evyatar,alone
518.8915,149629,left,1,-86.44608,146.2232,43.02354,149.3185,-107.4738,23.02844,1.243937,0.1956759,1.498343,-156.4329,134.1642,39.71202,-379.5747,20.87074,2.639898,0.09174372,1.222372,0,17.87456,219.0455,18.63423,25.31708,-22.57697,-21.40756,0.228811,-0.02418925,-0.2733528,48.94892,202.3287,85.07886,202.4586,38.04674,233.1001,0,0.2817433,0,evyatar,alone
518.9084,149631,left,1,-82.9592,143.7072,43.16856,213.8221,-138.2372,2.167843,1.133866,0.2046607,1.466038,-152.9453,130.8905,42.2935,-380.4482,21.6939,24.3886,0.1044312,1.304094,0,18.20539,218.951,18.31486,17.50861,2.117375,-17.35842,0.2378539,-0.02928276,-0.269759,48.99221,201.5448,84.71581,201.0713,35.23038,231.9385,0,0.2749881,0,evyatar,alone
518.9248,149633,left,1,-78.77789,140.0428,42.84551,251.9975,-223.5807,-23.93166,1.026481,0.2011238,1.439407,-148.9464,127.8669,44.1214,-383.415,32.89593,46.76267,0.07322305,1.196921,0,18.36457,219.3397,17.99068,5.799855,31.37051,-19.81732,0.2506895,-0.03217627,-0.2716749,49.18085,201.109,84.17529,200.4424,33.57787,230.8575,0,0.2836621,0,evyatar,alone
518.9417,149635,left,1,-75.11952,137.2436,42.63558,201.1248,-150.5259,-4.463658,0.9495072,0.2049898,1.41261,-145.3597,125.5527,46.23868,-385.9808,50.86495,69.15669,0.03374556,1.135591,0,18.40552,220.4556,17.57367,0.04671547,78.36597,-32.12088,0.2688461,-0.03477658,-0.2774994,49.43836,201.1063,83.3679,199.6805,32.06783,229.3652,0,0.3052175,0,evyatar,alone
518.9578,149637,left,1,-71.38901,134.8867,42.63419,242.5596,-174.1042,7.757011,0.9269335,0.224611,1.392973,-141.4692,122.6254,47.77873,-384.4286,62.48264,84.59747,0,1.028403,0,18.29336,222.1953,17.22853,-10.39729,97.65856,-15.44083,0.2870742,-0.03040993,-0.2882455,49.79055,201.8538,82.53721,199.1181,32.01506,228.5434,0,0.3516614,0,evyatar,alone
518.9744,149639,left,1,-67.05989,132.6374,43.07516,242.2617,-100.2133,20.35486,0.9718042,0.2739667,1.379396,-136.569,117.6257,48.89511,-379.1364,58.9099,90.31464,0,0.8734484,0,18.20556,223.6056,17.36227,0.3004044,74.32468,22.2644,0.3044087,-0.01912143,-0.3004487,50.22053,202.4105,82.17856,198.7624,32.08682,228.4237,0,0.4663805,0,evyatar,alone
518.9908,149641,left,1,-63.04808,132.4804,43.74679,219.4529,15.74901,44.44301,1.033455,0.3394951,1.361339,-131.4091,113.1401,50.47356,-370.6805,43.47812,94.04503,0,0.7524669,0,18.34128,224.4987,17.81224,9.184148,49.51511,22.582,0.3186826,0.002861107,-0.3108149,50.76582,202.7484,82.26896,199.3933,33.14685,229.2643,0,0.5994496,0,evyatar,alone
519.0077,149643,left,1,-59.46984,133.8906,44.37463,224.3298,76.83612,14.93058,1.039546,0.3861804,1.336244,-126.776,111.5562,52.40378,-362.4101,32.33894,99.34253,0,0.7018958,0,18.41093,225.3138,17.95707,3.805511,38.83008,7.956595,0.3257782,0.01373357,-0.3181566,51.16246,203.4144,82.24403,200.2325,36.39592,231.7279,0,0.7326236,0,evyatar,alone
