Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength,name,status
496.0675,58186,left,1,-54.31166,157.7245,15.8607,74.31263,-212.5593,-3.44393,-2.019593,-0.4887292,1.807927,-117.0938,182.8604,-6.841371,-348.7168,72.03372,-45.75863,0,0.9091429,0,15.67167,226.2064,20.2647,34.26665,-195.2147,-35.04302,0.2709872,-0.01763496,-0.2778003,46.88831,207.3548,86.23589,203.8337,49.33507,237.4553,0,0.2063894,0,nofar,alone
496.0836,58188,left,1,-55.30029,157.4318,16.38448,-13.39616,-80.75847,36.26706,-2.033726,-0.5132182,1.833118,-116.9684,184.4513,-7.018164,-354.0902,82.99192,-37.44109,0,0.8217309,0,16.24119,222.9389,20.11781,36.16443,-180.0939,-4.052799,0.2450849,-0.0147698,-0.2777627,47.54861,205.6568,86.4225,203.9553,47.88272,238.4482,0,0.2430498,0,nofar,alone
496.1004,58190,left,1,-54.63298,156.0129,16.98297,47.58408,-78.9844,34.0584,-2.042236,-0.4979831,1.831093,-116.614,182.716,-6.182822,-356.115,86.05158,-33.41483,0,0.8556928,0,16.72461,220.9709,19.94972,26.35298,-95.08819,-11.15762,0.230796,-0.008779264,-0.278792,48.1503,204.5182,86.35149,204.6231,45.35921,236.8544,0,0.2811337,0,nofar,alone
496.1167,58192,left,1,-53.41868,153.9157,17.2362,73.64914,-126.9083,8.471523,-2.053951,-0.4748394,1.825657,-115.9555,179.8159,-5.677634,-357.0149,86.90889,-32.22887,0,0.8404836,0,17.09016,219.7124,19.67679,19.46804,-61.75518,-21.30378,0.2176809,-0.01075909,-0.279768,48.64175,203.9989,86.16056,204.9939,44.18692,236.0927,0,0.2776912,0,nofar,alone
496.1333,58194,left,1,-52.18176,151.8651,17.44527,69.91277,-95.28832,9.696599,-2.069466,-0.4536808,1.820341,-115.3636,176.659,-5.346976,-357.7861,87.48306,-32.27857,0,0.8534647,0,17.46017,219.3652,19.13128,21.94964,-8.355943,-35.08179,0.220696,-0.01738021,-0.2786289,48.93135,203.3777,85.59017,204.5952,42.68003,235.2896,0,0.2830082,0,nofar,alone
496.1499,58196,left,1,-51.07776,150.901,17.61574,62.745,-53.70869,11.49983,-2.084001,-0.4190078,1.806499,-115.2807,173.9377,-4.567315,-358.2067,85.9267,-30.78409,0,0.8958431,0,17.87456,219.0455,18.63423,25.31708,-22.57697,-21.40756,0.228811,-0.02418925,-0.2733528,48.94892,202.3287,85.07886,202.4586,38.04674,233.1001,0,0.2817433,0,nofar,alone
496.1664,58198,left,1,-49.96243,150.4924,17.91254,65.54284,-21.20634,20.85302,-2.091727,-0.393487,1.794152,-114.9209,172.1745,-3.763809,-357.8386,84.51886,-31.21943,0,0.9619868,0,18.20539,218.951,18.31486,17.50861,2.117375,-17.35842,0.2378539,-0.02928276,-0.269759,48.99221,201.5448,84.71581,201.0713,35.23038,231.9385,0,0.2749881,0,nofar,alone
496.183,58200,left,1,-49.10514,150.196,18.11101,41.966,-8.618523,11.58518,-2.094422,-0.3816207,1.788054,-114.4012,171.3336,-3.309506,-357.8401,85.44592,-31.71926,0,1.017351,0,18.36457,219.3397,17.99068,5.799855,31.37051,-19.81732,0.2506895,-0.03217627,-0.2716749,49.18085,201.109,84.17529,200.4424,33.57787,230.8575,0,0.2836621,0,nofar,alone
496.1996,58202,left,1,-48.29799,150.2439,18.35301,52.28157,5.360948,17.21123,-2.106167,-0.3631865,1.781561,-114.0707,170.405,-2.865833,-357.8893,86.28704,-33.24677,0,1.077777,0,18.40552,220.4556,17.57367,0.04671547,78.36597,-32.12088,0.2688461,-0.03477658,-0.2774994,49.43836,201.1063,83.3679,199.6805,32.06783,229.3652,0,0.3052175,0,nofar,alone
496.2161,58204,left,1,-47.18336,150.2161,18.76643,70.89734,-1.633808,22.25279,-2.148245,-0.3357044,1.780195,-113.541,168.5422,-2.708038,-356.9387,84.7972,-37.21378,0,1.160675,0,18.29336,222.1953,17.22853,-10.39729,97.65856,-15.44083,0.2870742,-0.03040993,-0.2882455,49.79055,201.8538,82.53721,199.1181,32.01506,228.5434,0,0.3516614,0,nofar,alone
496.2328,58206,left,1,-46.02767,151.0152,19.27817,66.12115,60.36341,29.57958,-2.197572,-0.3049333,1.779671,-112.8513,167.485,-2.494579,-354.2205,80.42125,-42.58315,0,1.236077,0,18.20556,223.6056,17.36227,0.3004044,74.32468,22.2644,0.3044087,-0.01912143,-0.3004487,50.22053,202.4105,82.17856,198.7624,32.08682,228.4237,0,0.4663805,0,nofar,alone
496.2498,58208,left,1,-44.9555,152.1362,19.78001,53.55471,68.66048,25.11032,-2.256285,-0.2683854,1.777197,-112.2528,166.58,-2.199699,-350.765,75.23507,-49.25655,0,1.333795,0,18.34128,224.4987,17.81224,9.184148,49.51511,22.582,0.3186826,0.002861107,-0.3108149,50.76582,202.7484,82.26896,199.3933,33.14685,229.2643,0,0.5994496,0,nofar,alone
496.2659,58209,left,1,-44.49312,152.6874,20.05913,53.84061,64.1877,32.50125,-2.286679,-0.2487385,1.773682,-112.0611,166.0626,-1.928534,-349.0639,73.1963,-53.42448,0,1.375926,0,18.41093,225.3138,17.95707,3.805511,38.83008,7.956595,0.3257782,0.01373357,-0.3181566,51.16246,203.4144,82.24403,200.2325,36.39592,231.7279,0,0.7326236,0,nofar,alone
496.2828,58211,left,1,-43.4212,153.5482,20.78983,65.0409,42.03501,49.45069,-2.358478,-0.2053211,1.761471,-111.656,164.4424,-0.924542,-345.8719,69.80722,-61.20199,0,1.362643,0,18.43102,225.6912,18.04374,2.306688,43.33437,9.953967,0.3264976,0.01819019,-0.3204527,51.29063,203.8823,82.32899,200.643,38.58664,233.4371,0,0.7798588,0,nofar,alone
496.299,58213,left,1,-42.58755,154.0425,21.72332,43.53963,29.73614,57.0819,-2.440696,-0.1686124,1.747899,-111.4484,162.3439,0.4926692,-343.4496,65.21687,-64.22278,0,1.043134,0,18.40465,226.5214,18.23855,-2.909666,56.09796,11.4019,0.3282187,0.02451907,-0.3235002,51.41246,204.8399,82.53451,201.5276,42.91131,236.5055,0,0.8303839,0.04028974,nofar,alone
496.3155,58215,left,1,-42.69199,155.9854,22.95594,-24.41417,118.9727,73.24152,-2.586789,-0.12322,1.730729,-112.273,160.98,2.605817,-343.9459,62.82141,-61.72821,0,0.6781861,0,18.10311,227.3705,18.43532,-6.945813,55.80318,9.383934,0.3330704,0.02807493,-0.3305374,51.48849,205.6299,82.56013,202.619,46.63078,238.5772,0,0.8315652,0.08125872,nofar,alone
496.3321,58217,left,1,-43.14382,158.8805,24.19111,-22.42633,174.489,73.71007,-2.724209,-0.0897871,1.720885,-113.1309,161.9955,4.585459,-346.7984,66.04272,-55.73794,0,0.2593369,0,18.05762,228.08,18.64647,0.07544556,30.94688,11.54288,0.338345,0.02987687,-0.3308882,51.45837,206.1172,82.71241,203.6257,48.67337,239.298,0,0.8156868,0.1329048,nofar,alone
496.3487,58219,left,1,-43.81372,161.401,25.15456,-42.80446,141.5527,54.20516,-2.92704,-0.05182056,1.706529,-114.3201,162.6874,6.697514,-354.0017,78.08294,-46.60443,0,0.1282044,0,18.0624,228.5765,19.01755,0.3095428,34.28134,30.40811,0.3286049,0.02514137,-0.3290898,51.49883,207.1635,83.23975,204.8447,50.58802,239.546,0,0.7947472,0.1844946,nofar,alone
496.3652,58221,left,1,-43.87387,161.8358,25.93884,-2.933588,-0.3394951,50.58656,2.968842,-0.001470027,1.699277,-114.7516,160.571,8.235612,-362.126,95.39303,-36.53098,0,0.0272763,0,17.89447,228.2793,19.46428,-4.153082,-4.829456,30.21267,0.3169601,0.02296356,-0.3287141,51.44205,207.5679,83.84519,205.9019,52.08065,240.1409,0,0.7574357,0.1942879,nofar,alone
496.382,58223,left,1,-44.21386,162.191,27.05559,-16.1428,30.85218,68.03197,2.685323,0.0391259,1.705326,-114.9945,158.3545,9.121817,-364.2799,98.17156,-31.87923,0,0,0,17.7892,228.1402,19.93337,-9.701624,-14.87349,25.32333,0.3094111,0.006096346,-0.3224035,51.12165,207.6456,84.47457,205.9005,51.10296,239.3952,0,0.7209441,0.179294,nofar,alone
496.399,58225,left,1,-44.15476,163.8608,28.30353,3.549309,121.8327,75.63464,2.472846,0.08060511,1.708706,-114.7217,157.2358,10.28839,-363.521,93.43742,-28.11721,0,0,0,17.70522,227.7168,20.22846,-3.107115,-33.35177,10.29267,0.3115804,-0.007031268,-0.3161386,50.77441,206.9303,84.81361,206.5852,50.05939,238.3616,0,0.6691963,0.1192152,nofar,alone
