Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength,name,status
612.9247,70717,right,1,-276.4961,377.3701,75.66991,-95.1515,119.2853,69.63131,0.5577483,-0.78734,-0.9500068,-228.2728,338.1048,104.0375,-347.6881,109.1399,79.73369,0,0.9228706,0,15.67167,226.2064,20.2647,34.26665,-195.2147,-35.04302,0.2709872,-0.01763496,-0.2778003,46.88831,207.3548,86.23589,203.8337,49.33507,237.4553,0,0.2063894,0,oriya,alone
612.9414,70719,right,1,-277.9671,379.1552,76.75347,-96.6039,95.04671,53.24683,0.5483696,-0.7115059,-0.9861786,-227.8025,341.6779,103.7628,-344.4401,110.7093,85.74106,0,0.9392717,0,16.24119,222.9389,20.11781,36.16443,-180.0939,-4.052799,0.2450849,-0.0147698,-0.2777627,47.54861,205.6568,86.4225,203.9553,47.88272,238.4482,0,0.2430498,0,oriya,alone
612.9584,70721,right,1,-279.9603,380.8942,77.2108,-120.5936,123.8461,15.63202,0.5380511,-0.67124,-1.01435,-228.4312,344.7468,103.2631,-342.983,112.293,92.36681,0,0.9339283,0,16.72461,220.9709,19.94972,26.35298,-95.08819,-11.15762,0.230796,-0.008779264,-0.278792,48.1503,204.5182,86.35149,204.6231,45.35921,236.8544,0,0.2811337,0,oriya,alone
612.9753,70723,right,1,-283.1334,383.6584,78.28881,-194.8015,175.7304,61.77479,0.5461634,-0.6281938,-1.062038,-229.6962,348.5951,101.8837,-338.853,113.4382,94.03208,0.03854353,0.95778,0,17.09016,219.7124,19.67679,19.46804,-61.75518,-21.30378,0.2176809,-0.01075909,-0.279768,48.64175,203.9989,86.16056,204.9939,44.18692,236.0927,0,0.2776912,0,oriya,alone
612.9913,70725,right,1,-286.8356,387.0175,79.06087,-223.506,204.0953,40.6249,0.5255705,-0.5716872,-1.087272,-231.9113,353.7129,101.5252,-335.5653,116.0003,96.60569,0,1.114078,0,17.46017,219.3652,19.13128,21.94964,-8.355943,-35.08179,0.220696,-0.01738021,-0.2786289,48.93135,203.3777,85.59017,204.5952,42.68003,235.2896,0,0.2830082,0,oriya,alone
613.0076,70726,right,1,-288.7024,388.4673,79.05565,-216.0054,167.7634,-0.6048994,0.5164219,-0.5161561,-1.086701,-233.4572,356.179,101.5889,-337.0492,118.4495,96.20154,0.07666639,1.347995,0,17.87456,219.0455,18.63423,25.31708,-22.57697,-21.40756,0.228811,-0.02418925,-0.2733528,48.94892,202.3287,85.07886,202.4586,38.04674,233.1001,0,0.2817433,0,oriya,alone
613.0242,70728,right,1,-292.9693,391.7444,78.72523,-228.7125,203.4997,-34.77143,0.5364107,-0.4535867,-1.081632,-237.9733,359.7784,101.3854,-345.4328,123.887,92.25833,0,1.700842,0,18.20539,218.951,18.31486,17.50861,2.117375,-17.35842,0.2378539,-0.02928276,-0.269759,48.99221,201.5448,84.71581,201.0713,35.23038,231.9385,0,0.2749881,0,oriya,alone
613.0411,70730,right,1,-296.4149,395.0782,78.04612,-185.187,205.9715,-27.88668,0.5848132,-0.4900886,-1.055379,-243.3037,360.6899,101.5384,-360.0534,129.5986,85.98354,0.09210613,2.065239,0.08369487,18.36457,219.3397,17.99068,5.799855,31.37051,-19.81732,0.2506895,-0.03217627,-0.2716749,49.18085,201.109,84.17529,200.4424,33.57787,230.8575,0,0.2836621,0,oriya,alone
613.0573,70732,right,1,-299.4535,398.3,78.19457,-174.03,176.5643,13.20233,0.6446747,-0.4958444,-1.058372,-247.1953,362.1018,100.6824,-369.3453,134.5925,76.29914,0.3015715,2.132026,0.3438765,18.40552,220.4556,17.57367,0.04671547,78.36597,-32.12088,0.2688461,-0.03477658,-0.2774994,49.43836,201.1063,83.3679,199.6805,32.06783,229.3652,0,0.3052175,0,oriya,alone
613.0741,70734,right,1,-302.1433,401.908,78.79874,-161.141,226.9401,47.01546,0.6620508,-0.4911679,-1.064195,-249.8725,365.3826,100.6736,-372.1396,138.3724,72.51802,0.4379806,2.345413,0.6025012,18.29336,222.1953,17.22853,-10.39729,97.65856,-15.44083,0.2870742,-0.03040993,-0.2882455,49.79055,201.8538,82.53721,199.1181,32.01506,228.5434,0,0.3516614,0,oriya,alone
613.0905,70736,right,1,-307.7677,404.8565,79.85788,-328.7279,225.9844,55.37564,0.682901,-0.4196458,-1.138939,-252.606,370.7533,97.96301,-366.6169,139.0027,74.11275,0.2418094,2.036472,0,18.20556,223.6056,17.36227,0.3004044,74.32468,22.2644,0.3044087,-0.01912143,-0.3004487,50.22053,202.4105,82.17856,198.7624,32.08682,228.4237,0,0.4663805,0,oriya,alone
