Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength,name,status
561.4594,67274,left,1,-70.3323,169.6624,66.57047,116.8276,230.1044,-232.002,2.408724,-1.36562,2.612679,-96.7321,121.8236,26.51512,-298.2882,-19.49716,35.98683,0.09412315,1.888679,0.3294541,15.67167,226.2064,20.2647,34.26665,-195.2147,-35.04302,0.2709872,-0.01763496,-0.2778003,46.88831,207.3548,86.23589,203.8337,49.33507,237.4553,0,0.2063894,0,sachar,alone
561.476,67276,left,1,-69.29771,172.8164,61.57287,43.34046,166.1222,-284.0924,2.330717,-1.395854,2.563127,-95.64294,121.9743,24.74826,-287.7798,-32.12753,29.4606,0,2.156652,0.4620408,16.24119,222.9389,20.11781,36.16443,-180.0939,-4.052799,0.2450849,-0.0147698,-0.2777627,47.54861,205.6568,86.4225,203.9553,47.88272,238.4482,0,0.2430498,0,sachar,alone
561.4925,67278,left,1,-67.98444,175.2615,55.70394,75.70715,105.9016,-366.9593,2.263312,-1.414904,2.534463,-93.57269,121.8934,21.8035,-279.9629,-39.04336,28.45215,0,2.059718,0.4557248,16.72461,220.9709,19.94972,26.35298,-95.08819,-11.15762,0.230796,-0.008779264,-0.278792,48.1503,204.5182,86.35149,204.6231,45.35921,236.8544,0,0.2811337,0,sachar,alone
561.509,67280,left,1,-66.06445,176.7525,49.44841,99.28395,94.03284,-357.6847,2.192864,-1.445653,2.501072,-90.9082,121.004,18.81344,-273.9011,-43.63946,28.41852,0,2.105497,0.5501609,17.09016,219.7124,19.67679,19.46804,-61.75518,-21.30378,0.2176809,-0.01075909,-0.279768,48.64175,203.9989,86.16056,204.9939,44.18692,236.0927,0,0.2776912,0,sachar,alone
561.5256,67282,left,1,-63.64779,177.6863,43.0928,147.8422,27.74666,-398.7127,2.119112,-1.509946,2.433856,-88.85471,119.9976,16.35428,-270.0061,-46.35603,30.382,0,2.095404,0.6086487,17.46017,219.3652,19.13128,21.94964,-8.355943,-35.08179,0.220696,-0.01738021,-0.2786289,48.93135,203.3777,85.59017,204.5952,42.68003,235.2896,0,0.2830082,0,sachar,alone
561.5422,67284,left,1,-61.49346,177.242,36.0718,116.3493,-10.30582,-378.2733,2.0227,-1.575678,2.332024,-87.00156,117.5287,14.1928,-267.0186,-49.91513,29.76808,0,2.052426,0.6109851,17.87456,219.0455,18.63423,25.31708,-22.57697,-21.40756,0.228811,-0.02418925,-0.2733528,48.94892,202.3287,85.07886,202.4586,38.04674,233.1001,0,0.2817433,0,sachar,alone
561.5588,67286,left,1,-59.39678,177.5437,29.01586,154.3646,-3.591912,-414.3984,1.927277,-1.661027,2.189962,-86.08282,116.5934,12.06804,-265.343,-51.60089,28.27358,0,1.95209,0.5475909,18.20539,218.951,18.31486,17.50861,2.117375,-17.35842,0.2378539,-0.02928276,-0.269759,48.99221,201.5448,84.71581,201.0713,35.23038,231.9385,0,0.2749881,0,sachar,alone
561.5756,67288,left,1,-56.81145,178.6018,21.57057,141.1632,128.8661,-422.0987,1.836406,-1.774174,2.029366,-85.0929,117.039,9.436644,-262.3579,-53.31787,24.98617,0,1.962201,0.4387661,18.36457,219.3397,17.99068,5.799855,31.37051,-19.81732,0.2506895,-0.03217627,-0.2716749,49.18085,201.109,84.17529,200.4424,33.57787,230.8575,0,0.2836621,0,sachar,alone
561.5919,67290,left,1,-54.33129,180.9201,14.2361,144.2676,114.0041,-424.6473,1.756849,-1.90134,1.8868,-83.94427,119.1082,6.582032,-259.6583,-53.10553,18.9571,0,2.095221,0.383825,18.40552,220.4556,17.57367,0.04671547,78.36597,-32.12088,0.2688461,-0.03477658,-0.2774994,49.43836,201.1063,83.3679,199.6805,32.06783,229.3652,0,0.3052175,0,sachar,alone
561.6085,67292,left,1,-51.88698,181.594,6.081586,141.5369,27.78808,-454.1361,1.660867,-2.017027,1.722371,-82.34199,119.6886,3.481884,-257.4623,-53.34818,12.27339,0,2.60655,1,18.29336,222.1953,17.22853,-10.39729,97.65856,-15.44083,0.2870742,-0.03040993,-0.2882455,49.79055,201.8538,82.53721,199.1181,32.01506,228.5434,0,0.3516614,0,sachar,alone
561.625,67294,left,1,-48.79495,182.1215,-1.838292,170.2723,32.74683,-467.9798,1.559487,-2.120599,1.55195,-79.77246,120.4872,1.237444,-255.8273,-51.72843,6.947797,0.1427049,2.824741,0.6145201,18.20556,223.6056,17.36227,0.3004044,74.32468,22.2644,0.3044087,-0.01912143,-0.3004487,50.22053,202.4105,82.17856,198.7624,32.08682,228.4237,0,0.4663805,0,sachar,alone
561.6418,67295,left,1,-47.38841,181.1914,-5.983426,155.8667,-103.0645,-459.3456,1.503927,-2.177477,1.463772,-79.37125,120.3219,0.247907,-257.7101,-49.5416,5.517985,0.3914257,2.940684,0.6008555,18.34128,224.4987,17.81224,9.184148,49.51511,22.582,0.3186826,0.002861107,-0.3108149,50.76582,202.7484,82.26896,199.3933,33.14685,229.2643,0,0.5994496,0,sachar,alone
561.6581,67297,left,1,-44.91966,181.8706,-13.61859,121.378,84.91628,-464.031,1.418379,-2.156216,1.292635,-73.88935,120.6154,-2.20734,-261.9628,-38.48984,-2.398035,0.5871033,3.104041,0.9150859,18.41093,225.3138,17.95707,3.805511,38.83008,7.956595,0.3257782,0.01373357,-0.3181566,51.16246,203.4144,82.24403,200.2325,36.39592,231.7279,0,0.7326236,0,sachar,alone
561.6747,67299,left,1,-45.93995,184.4525,-23.04789,-95.67121,95.61127,-556.4638,1.310723,-2.120122,0.991327,-69.0536,122.7874,-5.627709,-267.0382,-23.69164,-11.29663,0.9593617,3.141593,1,18.43102,225.6912,18.04374,2.306688,43.33437,9.953967,0.3264976,0.01819019,-0.3204527,51.29063,203.8823,82.32899,200.643,38.58664,233.4371,0,0.7798588,0,sachar,alone
