Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength,name,status
689.6486,53431,left,1,-42.31819,135.1828,-25.60174,-81.10098,175.5142,93.32386,0.343086,2.8739,1.029777,-101.4035,115.5741,11.2969,-341.3491,97.50147,103.5521,0,0.9945655,0,15.67167,226.2064,20.2647,34.26665,-195.2147,-35.04302,0.2709872,-0.01763496,-0.2778003,46.88831,207.3548,86.23589,203.8337,49.33507,237.4553,0,0.2063894,0,yoel,alone
689.6819,53435,left,1,-42.97161,139.0533,-23.14587,-96.65139,114.2293,99.34267,0.3734247,2.8883,1.048383,-102.4811,118.3398,12.56109,-342.1365,89.87159,102.9291,0,1.091463,0,16.24119,222.9389,20.11781,36.16443,-180.0939,-4.052799,0.2450849,-0.0147698,-0.2777627,47.54861,205.6568,86.4225,203.9553,47.88272,238.4482,0,0.2430498,0,yoel,alone
689.7164,53439,left,1,-44.52662,142.8589,-21.94449,-87.20111,123.4146,36.60826,0.3642654,2.891505,1.058641,-104.401,121.9957,13.2646,-342.1891,77.23265,101.9471,0,1.084091,0.03292938,16.72461,220.9709,19.94972,26.35298,-95.08819,-11.15762,0.230796,-0.008779264,-0.278792,48.1503,204.5182,86.35149,204.6231,45.35921,236.8544,0,0.2811337,0,yoel,alone
689.7484,53442,left,1,-45.44323,143.9432,-21.36648,-17.13138,9.423112,13.87532,0.3949088,2.894809,1.055241,-104.7827,121.337,13.78861,-338.7555,60.30266,102.9123,0,1.054642,0,17.09016,219.7124,19.67679,19.46804,-61.75518,-21.30378,0.2176809,-0.01075909,-0.279768,48.64175,203.9989,86.16056,204.9939,44.18692,236.0927,0,0.2776912,0,yoel,alone
689.7826,53446,left,1,-45.9006,144.1967,-21.6837,-20.75098,22.76837,-20.99058,0.4107669,2.904506,1.04726,-104.6729,120.6817,13.84527,-336.6735,53.63237,103.7988,0,1.062729,0,17.46017,219.3652,19.13128,21.94964,-8.355943,-35.08179,0.220696,-0.01738021,-0.2786289,48.93135,203.3777,85.59017,204.5952,42.68003,235.2896,0,0.2830082,0,yoel,alone
689.8159,53448,left,1,-45.78342,144.1731,-22.35967,24.71505,-18.70804,-31.0321,0.41886,2.903245,1.035371,-104.0172,120.1348,13.65961,-336.161,53.06922,103.2306,0,1.053013,0,17.87456,219.0455,18.63423,25.31708,-22.57697,-21.40756,0.228811,-0.02418925,-0.2733528,48.94892,202.3287,85.07886,202.4586,38.04674,233.1001,0,0.2817433,0,yoel,alone
689.8535,53451,left,1,-43.4654,141.2154,-23.64923,26.44915,-29.99567,-29.22153,0.383218,2.908024,1.032358,-101.9714,118.8538,12.92749,-336.934,63.02507,102.8568,0,1.332415,0.1885998,18.20539,218.951,18.31486,17.50861,2.117375,-17.35842,0.2378539,-0.02928276,-0.269759,48.99221,201.5448,84.71581,201.0713,35.23038,231.9385,0,0.2749881,0,yoel,alone
689.8867,53453,left,1,-43.16531,141.1787,-23.96614,4.619727,4.363531,-6.560678,0.3914151,2.922513,1.033123,-101.6315,118.7973,12.59715,-337.9427,67.9938,101.97,0,1.443302,0.3628029,18.36457,219.3397,17.99068,5.799855,31.37051,-19.81732,0.2506895,-0.03217627,-0.2716749,49.18085,201.109,84.17529,200.4424,33.57787,230.8575,0,0.2836621,0,yoel,alone
689.9196,53455,left,1,-43.56751,141.7331,-23.87992,-20.89733,19.47278,9.748574,0.3952041,2.925252,1.034182,-102.0727,119.4667,12.6384,-339.3031,74.14079,102.5206,0,1.456113,0.3913784,18.40552,220.4556,17.57367,0.04671547,78.36597,-32.12088,0.2688461,-0.03477658,-0.2774994,49.43836,201.1063,83.3679,199.6805,32.06783,229.3652,0,0.3052175,0,yoel,alone
689.9521,53457,left,1,-44.52235,142.3764,-23.22632,-38.95722,28.93184,30.37956,0.4906116,2.946356,0.9975654,-100.439,115.733,14.20193,-336.4246,66.21738,105.1444,0,1.34124,0.1798844,18.29336,222.1953,17.22853,-10.39729,97.65856,-15.44083,0.2870742,-0.03040993,-0.2882455,49.79055,201.8538,82.53721,199.1181,32.01506,228.5434,0,0.3516614,0,yoel,alone
689.9862,53459,left,1,-46.69127,146.0753,-22.03956,-70.11502,124.3771,46.12279,0.4920938,2.945995,1.006942,-102.9415,119.1715,14.81825,-337.6653,59.36785,102.7942,0.05625665,1.35759,0.1425247,18.20556,223.6056,17.36227,0.3004044,74.32468,22.2644,0.3044087,-0.01912143,-0.3004487,50.22053,202.4105,82.17856,198.7624,32.08682,228.4237,0,0.4663805,0,yoel,alone
690.0197,53461,left,1,-46.45617,147.3901,-20.89018,12.61652,20.52684,30.63811,0.4156745,2.901469,1.03199,-104.7461,123.6829,15.14775,-340.4819,63.92787,100.409,0.1679101,1.556764,0.148568,18.34128,224.4987,17.81224,9.184148,49.51511,22.582,0.3186826,0.002861107,-0.3108149,50.76582,202.7484,82.26896,199.3933,33.14685,229.2643,0,0.5994496,0,yoel,alone
690.0533,53463,left,1,-46.3805,147.4356,-19.5199,-9.597107,15.4211,37.33551,0.4123824,2.89334,1.0455,-105.2735,124.1682,15.85714,-341.043,66.53462,102.4749,0.2006005,1.569209,0.1875045,18.41093,225.3138,17.95707,3.805511,38.83008,7.956595,0.3257782,0.01373357,-0.3181566,51.16246,203.4144,82.24403,200.2325,36.39592,231.7279,0,0.7326236,0,yoel,alone
690.0873,53465,left,1,-47.41895,149.1406,-18.71844,-26.22385,42.06153,19.99716,0.4396746,2.901572,1.042837,-105.8615,124.6315,16.58825,-340.0089,60.64674,103.1473,0.1842528,1.523238,0.1558829,18.43102,225.6912,18.04374,2.306688,43.33437,9.953967,0.3264976,0.01819019,-0.3204527,51.29063,203.8823,82.32899,200.643,38.58664,233.4371,0,0.7798588,0,yoel,alone
690.1198,53467,left,1,-47.86805,150.0202,-18.5049,-7.900086,19.74499,5.150879,0.4557738,2.913118,1.038304,-105.9352,124.9482,16.97635,-340.3488,62.7219,104.0949,0.1626716,1.511076,0.09432107,18.40465,226.5214,18.23855,-2.909666,56.09796,11.4019,0.3282187,0.02451907,-0.3235002,51.41246,204.8399,82.53451,201.5276,42.91131,236.5055,0,0.8303839,0.04028974,yoel,alone
690.1542,53469,left,1,-47.58968,150.4853,-18.6787,18.23144,-0.1473867,-11.34762,0.5081214,2.941892,1.020766,-104.1988,123.1261,17.36479,-337.4092,59.46203,106.6472,0.1418056,1.490208,0.02356384,18.10311,227.3705,18.43532,-6.945813,55.80318,9.383934,0.3330704,0.02807493,-0.3305374,51.48849,205.6299,82.56013,202.619,46.63078,238.5772,0,0.8315652,0.08125872,yoel,alone
690.1862,53471,left,1,-47.5176,150.9569,-19.32718,2.879717,3.171709,-20.82565,0.4952381,2.935856,1.02639,-104.2839,123.7939,16.80958,-331.8421,50.01574,112.651,0.1481432,1.481232,0.02497074,18.05762,228.08,18.64647,0.07544556,30.94688,11.54288,0.338345,0.02987687,-0.3308882,51.45837,206.1172,82.71241,203.6257,48.67337,239.298,0,0.8156868,0.1329048,yoel,alone
690.2198,53472,left,1,-47.51321,151.1955,-20.22083,0.249608,13.56466,-50.80193,0.4645208,2.921071,1.029183,-104.7958,125.1256,15.95166,-332.5739,50.05803,110.2571,0.1671966,1.504688,0.05522165,18.0624,228.5765,19.01755,0.3095428,34.28134,30.40811,0.3286049,0.02514137,-0.3290898,51.49883,207.1635,83.23975,204.8447,50.58802,239.546,0,0.7947472,0.1844946,yoel,alone
690.2531,53474,left,1,-45.91018,149.7094,-25.05865,61.84599,-103.3134,-140.1047,0.4358689,2.89809,1.012289,-102.8125,124.2847,12.16697,-329.5092,49.74125,109.4471,0.1590892,1.61887,0.284418,17.89447,228.2793,19.46428,-4.153082,-4.829456,30.21267,0.3169601,0.02296356,-0.3287141,51.44205,207.5679,83.84519,205.9019,52.08065,240.1409,0,0.7574357,0.1942879,yoel,alone
690.2856,53476,left,1,-45.16105,142.8188,-32.38549,41.69872,-256.2891,-216.1297,0.3814994,2.86119,0.9553724,-100.346,118.3514,7.835599,-327.7816,45.6187,104.7608,0.2081416,1.664951,0.4407666,17.7892,228.1402,19.93337,-9.701624,-14.87349,25.32333,0.3094111,0.006096346,-0.3224035,51.12165,207.6456,84.47457,205.9005,51.10296,239.3952,0,0.7209441,0.179294,yoel,alone
690.3188,53478,left,1,-45.55858,132.4524,-39.57252,-28.28207,-396.1915,-169.8466,0.3342905,2.848934,0.8854753,-98.18481,109.3965,4.49673,-327.4412,51.85147,107.1691,0.2546498,1.740766,0.5657904,17.70522,227.7168,20.22846,-3.107115,-33.35177,10.29267,0.3115804,-0.007031268,-0.3161386,50.77441,206.9303,84.81361,206.5852,50.05939,238.3616,0,0.6691963,0.1192152,yoel,alone
690.3522,53481,left,1,-43.65207,119.926,-44.43657,173.1576,-348.6115,-101.5099,0.1817637,2.863731,0.8656746,-96.57888,104.2804,2.285182,-331.0209,75.50359,105.3402,0.5890405,2.129705,0.6467396,17.61275,227.4803,20.45045,-3.990029,-16.54309,13.7621,0.3237534,-0.03758832,-0.3089949,50.37022,205.7428,84.92854,207.3249,49.62845,238.0821,0,0.6251301,0.04311931,yoel,alone
690.3867,53484,left,1,-50.10927,130.9109,-46.41448,-388.5442,531.1203,24.22598,-0.01839007,2.82127,0.915103,-106.0672,123.8615,-0.9721473,-342.651,106.6186,99.7368,1,2.710654,0.567243,17.59504,226.7708,20.74169,0.1522289,-47.13358,14.9059,0.3199305,-0.05917699,-0.3061982,50.32756,205.0397,85.22739,207.7707,48.1735,237.0954,0,0.5804149,0,yoel,alone
690.4194,53486,left,1,-58.04224,145.1941,-46.4748,-321.7103,688.0245,-52.9565,-0.02054824,2.795278,0.9189696,-114.3733,137.9795,-1.507433,-351.7905,118.7808,96.85918,1,2.935565,0.3041533,17.57927,225.8769,20.97893,-1.554018,-49.27261,14.10453,0.3095724,-0.0696516,-0.3045345,50.35363,204.6443,85.59027,208.4467,47.60641,236.6033,0,0.5424234,0,yoel,alone
690.4532,53490,left,1,-78.31244,176.7758,-42.42425,-587.853,818.0776,217.2615,0.1097689,2.798928,0.8828616,-132.5582,162.9583,3.601265,-363.6534,111.0542,105.1517,1,3.128541,0.002969316,17.47668,224.9987,21.14577,-9.194762,-51.0369,7.447628,0.3017198,-0.07100394,-0.3022352,50.21103,204.2219,85.91442,209.1774,47.90908,236.7628,0,0.5407819,0,yoel,alone
