Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
288.7583,33862,left,1,-10.24803,201.7516,2.468743,17.6343,473.6849,82.42932,0.8190725,0.1678295,1.319056,-76.07838,186.345,11.07536,-270.6514,41.06382,-9.557544,0,0,0,15.67167,226.2064,20.2647,34.26665,-195.2147,-35.04302,0.2709872,-0.01763496,-0.2778003,46.88831,207.3548,86.23589,203.8337,49.33507,237.4553,0,0.2063894,0
288.7748,33864,left,1,-9.33861,209.3158,4.333957,58.51474,410.5043,126.9622,0.9861408,0.2192249,1.340908,-74.40799,190.2656,12.09145,-267.5279,43.25141,-10.06545,0,0,0,16.24119,222.9389,20.11781,36.16443,-180.0939,-4.052799,0.2450849,-0.0147698,-0.2777627,47.54861,205.6568,86.4225,203.9553,47.88272,238.4482,0,0.2430498,0
288.7916,33866,left,1,-9.075482,218.5564,6.056528,-21.86372,562.6049,100.5085,1.104958,0.278517,1.363549,-73.34108,196.3148,12.44707,-263.4699,46.08354,-13.64828,0,0,0,16.72461,220.9709,19.94972,26.35298,-95.08819,-11.15762,0.230796,-0.008779264,-0.278792,48.1503,204.5182,86.35149,204.6231,45.35921,236.8544,0,0.2811337,0
288.8085,33868,left,1,-9.811995,227.4307,7.327514,-39.42136,326.0681,54.91318,1.15694,0.3287351,1.365518,-73.23759,202.5685,13.32053,-262.8596,51.95419,-14.21563,0,0,0,17.09016,219.7124,19.67679,19.46804,-61.75518,-21.30378,0.2176809,-0.01075909,-0.279768,48.64175,203.9989,86.16056,204.9939,44.18692,236.0927,0,0.2776912,0
288.8245,33870,left,1,-11.77979,236.8648,8.48395,-149.1884,517.6635,60.91379,1.20462,0.3974009,1.362418,-73.8367,208.4722,14.26872,-262.0292,55.57335,-10.32661,0,0.08343881,0,17.46017,219.3652,19.13128,21.94964,-8.355943,-35.08179,0.220696,-0.01738021,-0.2786289,48.93135,203.3777,85.59017,204.5952,42.68003,235.2896,0,0.2830082,0
288.8415,33872,left,1,-12.87848,242.2744,9.982699,-94.41533,311.5912,109.1454,1.255431,0.4662614,1.370174,-73.69881,210.921,14.9126,-263.5761,59.6883,-6.874186,0,1.052915,0,17.87456,219.0455,18.63423,25.31708,-22.57697,-21.40756,0.228811,-0.02418925,-0.2733528,48.94892,202.3287,85.07886,202.4586,38.04674,233.1001,0,0.2817433,0
288.8577,33873,left,1,-13.75633,245.613,10.89266,-101.3216,385.3477,105.0277,1.284474,0.4959726,1.377525,-73.82983,212.7398,15.45203,-262.8284,60.2971,-5.52832,0,1.132811,0,18.20539,218.951,18.31486,17.50861,2.117375,-17.35842,0.2378539,-0.02928276,-0.269759,48.99221,201.5448,84.71581,201.0713,35.23038,231.9385,0,0.2749881,0
288.8743,33875,left,1,-16.52769,253.5515,12.96389,-176.1302,457.185,113.909,1.325991,0.5515908,1.389445,-75.06977,217.8984,16.60443,-257.3471,57.54618,-4.878946,0,1.123748,0,18.36457,219.3397,17.99068,5.799855,31.37051,-19.81732,0.2506895,-0.03217627,-0.2716749,49.18085,201.109,84.17529,200.4424,33.57787,230.8575,0,0.2836621,0
288.8908,33877,left,1,-18.8943,258.6636,14.92379,-131.2419,216.646,111.2382,1.366156,0.59015,1.410658,-76.38278,221.2624,17.31859,-251.8087,53.77702,-6.635905,0,1.245187,0,18.40552,220.4556,17.57367,0.04671547,78.36597,-32.12088,0.2688461,-0.03477658,-0.2774994,49.43836,201.1063,83.3679,199.6805,32.06783,229.3652,0,0.3052175,0
288.9074,33879,left,1,-20.03733,262.2951,16.87061,-60.0344,192.4523,107.5865,1.409671,0.6250676,1.441128,-76.69703,223.6271,17.34658,-243.997,48.47121,-9.682108,0,1.258364,0.271598,18.29336,222.1953,17.22853,-10.39729,97.65856,-15.44083,0.2870742,-0.03040993,-0.2882455,49.79055,201.8538,82.53721,199.1181,32.01506,228.5434,0,0.3516614,0
