Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
457.7846,53462,left,1,-11.90731,258.5077,37.9101,34.50508,-168.3638,90.20811,0.2768987,-3.074139,0.5995504,-44.16448,234.8318,91.32478,-198.5133,83.85287,193.0523,0,1.027636,0,15.67167,226.2064,20.2647,34.26665,-195.2147,-35.04302,0.2709872,-0.01763496,-0.2778003,46.88831,207.3548,86.23589,203.8337,49.33507,237.4553,0,0.2063894,0
457.8014,53464,left,1,-11.33881,255.9819,39.46614,32.55418,-137.9389,91.10773,0.271725,-3.08378,0.6071253,-44.06706,232.5126,92.68517,-198.5733,80.84518,193.1417,0,1.119656,0,16.24119,222.9389,20.11781,36.16443,-180.0939,-4.052799,0.2450849,-0.0147698,-0.2777627,47.54861,205.6568,86.4225,203.9553,47.88272,238.4482,0,0.2430498,0
457.8178,53465,left,1,-10.96912,254.6319,40.10597,43.00753,-157.0467,74.43315,0.2750315,-3.090031,0.6123863,-43.99724,231.063,93.11909,-199.695,80.86746,193.9467,0,1.16372,0,16.72461,220.9709,19.94972,26.35298,-95.08819,-11.15762,0.230796,-0.008779264,-0.278792,48.1503,204.5182,86.35149,204.6231,45.35921,236.8544,0,0.2811337,0
457.8344,53467,left,1,-9.921215,252.3976,40.85599,67.9571,-117.876,33.46627,0.2662709,-3.105478,0.6300582,-44.01105,229.392,93.48573,-201.4595,81.58894,195.1269,0,1.282092,0,17.09016,219.7124,19.67679,19.46804,-61.75518,-21.30378,0.2176809,-0.01075909,-0.279768,48.64175,203.9989,86.16056,204.9939,44.18692,236.0927,0,0.2776912,0
457.8513,53469,left,1,-9.173759,251.1974,41.25743,30.31914,-56.67177,16.88252,0.2580099,3.138535,0.650477,-44.4664,228.4931,93.29652,-201.8004,81.21471,195.8722,0,1.408869,0.06716105,17.46017,219.3652,19.13128,21.94964,-8.355943,-35.08179,0.220696,-0.01738021,-0.2786289,48.93135,203.3777,85.59017,204.5952,42.68003,235.2896,0,0.2830082,0
457.8676,53471,left,1,-8.721614,251.5643,41.00145,21.25835,46.92905,-25.7273,0.2703312,3.098923,0.6766344,-45.29568,228.2225,91.9874,-201.5131,81.10519,196.4828,0,1.518896,0.1900361,17.87456,219.0455,18.63423,25.31708,-22.57697,-21.40756,0.228811,-0.02418925,-0.2733528,48.94892,202.3287,85.07886,202.4586,38.04674,233.1001,0,0.2817433,0
457.8841,53473,left,1,-8.284699,252.5122,39.95247,26.00676,67.13737,-69.90562,0.3050545,3.091393,0.7094433,-46.14245,227.8924,89.52235,-201.8675,82.62559,197.2903,0,1.568718,0.1507422,18.20539,218.951,18.31486,17.50861,2.117375,-17.35842,0.2378539,-0.02928276,-0.269759,48.99221,201.5448,84.71581,201.0713,35.23038,231.9385,0,0.2749881,0
457.9006,53475,left,1,-8.526764,255.1038,38.92032,-34.17139,163.069,-57.74815,0.348776,3.118044,0.7417728,-47.38599,229.0739,87.07922,-202.6017,85.1907,197.4077,0.04320087,1.597523,0.2855682,18.36457,219.3397,17.99068,5.799855,31.37051,-19.81732,0.2506895,-0.03217627,-0.2716749,49.18085,201.109,84.17529,200.4424,33.57787,230.8575,0,0.2836621,0
457.9172,53477,left,1,-8.987251,258.2776,37.67582,-19.32005,183.096,-91.40169,0.3463479,3.103665,0.777414,-49.50795,232.601,84.71686,-202.4452,87.26601,196.3171,0.2284976,1.720474,0.5496361,18.40552,220.4556,17.57367,0.04671547,78.36597,-32.12088,0.2688461,-0.03477658,-0.2774994,49.43836,201.1063,83.3679,199.6805,32.06783,229.3652,0,0.3052175,0
457.9337,53479,left,1,-9.378778,262.1888,35.99546,-19.91356,234.9174,-102.8159,0.3381491,3.062996,0.8043641,-51.24669,236.7125,82.00507,-200.2146,86.87036,193.0122,0.3323352,1.860437,0.7385733,18.29336,222.1953,17.22853,-10.39729,97.65856,-15.44083,0.2870742,-0.03040993,-0.2882455,49.79055,201.8538,82.53721,199.1181,32.01506,228.5434,0,0.3516614,0
