Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
580.1392,67259,left,1,-108.3085,195.5176,113.3718,-3.592897,5.759355,-23.66474,1.467172,1.009523,1.405179,-151.3854,136.4591,111.022,-305.2841,-70.87762,91.88976,0,0.589595,0,15.67167,226.2064,20.2647,34.26665,-195.2147,-35.04302,0.2709872,-0.01763496,-0.2778003,46.88831,207.3548,86.23589,203.8337,49.33507,237.4553,0,0.2063894,0
580.156,67261,left,1,-108.3324,195.5074,113.0081,-2.263443,-1.267794,-20.32616,1.463419,1.009894,1.399119,-151.4667,136.478,110.862,-307.3874,-69.36938,92.02148,0,0.56935,0,16.24119,222.9389,20.11781,36.16443,-180.0939,-4.052799,0.2450849,-0.0147698,-0.2777627,47.54861,205.6568,86.4225,203.9553,47.88272,238.4482,0,0.2430498,0
580.173,67263,left,1,-108.3228,195.4864,112.606,-0.02363973,-0.3893586,-21.09858,1.461456,1.01065,1.395631,-151.4971,136.4783,110.618,-309.356,-67.97952,92.81544,0,0.5494215,0,16.72461,220.9709,19.94972,26.35298,-95.08819,-11.15762,0.230796,-0.008779264,-0.278792,48.1503,204.5182,86.35149,204.6231,45.35921,236.8544,0,0.2811337,0
580.189,67265,left,1,-108.3321,195.4507,112.3088,-0.9224182,-2.848716,-18.1319,1.457969,1.009002,1.390733,-151.6192,136.518,110.534,-310.3545,-67.33633,93.62509,0,0.5317696,0,17.09016,219.7124,19.67679,19.46804,-61.75518,-21.30378,0.2176809,-0.01075909,-0.279768,48.64175,203.9989,86.16056,204.9939,44.18692,236.0927,0,0.2776912,0
580.2059,67267,left,1,-108.3419,195.3853,112.0646,1.66405,-6.675363,-13.15121,1.454717,1.00706,1.386362,-151.7518,136.5369,110.4735,-311.2222,-66.78359,94.06252,0,0.5202413,0,17.46017,219.3652,19.13128,21.94964,-8.355943,-35.08179,0.220696,-0.01738021,-0.2786289,48.93135,203.3777,85.59017,204.5952,42.68003,235.2896,0,0.2830082,0
580.222,67268,left,1,-108.325,195.2932,111.9576,1.900918,-10.38485,-12.05628,1.453696,1.006812,1.384868,-151.7611,136.462,110.4241,-311.6114,-66.57368,94.18272,0,0.5166312,0,17.87456,219.0455,18.63423,25.31708,-22.57697,-21.40756,0.228811,-0.02418925,-0.2733528,48.94892,202.3287,85.07886,202.4586,38.04674,233.1001,0,0.2817433,0
580.2386,67270,left,1,-108.2843,195.1301,111.7859,2.67244,-7.979162,-9.378083,1.451648,1.00614,1.381999,-151.7771,136.3371,110.3594,-312.2914,-66.19646,94.40081,0,0.5135962,0,18.20539,218.951,18.31486,17.50861,2.117375,-17.35842,0.2378539,-0.02928276,-0.269759,48.99221,201.5448,84.71581,201.0713,35.23038,231.9385,0,0.2749881,0
580.2551,67272,left,1,-108.1666,194.9337,111.6731,7.16088,-12.1677,-7.700179,1.450672,1.005891,1.380685,-151.6835,136.1574,110.3016,-312.571,-66.11497,94.79517,0,0.5155151,0,18.36457,219.3397,17.99068,5.799855,31.37051,-19.81732,0.2506895,-0.03217627,-0.2716749,49.18085,201.109,84.17529,200.4424,33.57787,230.8575,0,0.2836621,0
580.2717,67274,left,1,-108.032,194.7114,111.5143,10.08886,-11.9275,-10.03181,1.451356,1.007415,1.381185,-151.4845,135.8888,110.1411,-312.7077,-66.18052,95.49792,0,0.5238557,0,18.40552,220.4556,17.57367,0.04671547,78.36597,-32.12088,0.2688461,-0.03477658,-0.2774994,49.43836,201.1063,83.3679,199.6805,32.06783,229.3652,0,0.3052175,0
580.2886,67276,left,1,-107.8702,194.5076,111.4066,9.00194,-10.78233,-4.064565,1.452554,1.008471,1.382622,-151.2969,135.6679,110.0165,-313.1765,-65.94588,96.37012,0,0.5380175,0,18.29336,222.1953,17.22853,-10.39729,97.65856,-15.44083,0.2870742,-0.03040993,-0.2882455,49.79055,201.8538,82.53721,199.1181,32.01506,228.5434,0,0.3516614,0
580.3057,67278,left,1,-107.7708,194.3634,111.326,4.219343,-6.42987,-2.752952,1.45274,1.007977,1.383122,-151.253,135.5656,109.9613,-313.8988,-65.49214,97.25358,0,0.5531532,0,18.20556,223.6056,17.36227,0.3004044,74.32468,22.2644,0.3044087,-0.01912143,-0.3004487,50.22053,202.4105,82.17856,198.7624,32.08682,228.4237,0,0.4663805,0
580.3216,67280,left,1,-107.6625,194.2172,111.2742,6.598343,-8.422775,-2.272394,1.452708,1.00691,1.383502,-151.2251,135.4792,109.9297,-314.5258,-65.08096,97.76991,0,0.5673028,0,18.34128,224.4987,17.81224,9.184148,49.51511,22.582,0.3186826,0.002861107,-0.3108149,50.76582,202.7484,82.26896,199.3933,33.14685,229.2643,0,0.5994496,0
