Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
386.9574,45134,left,1,-158.617,287.6174,-24.87604,-31.299,356.5704,107.2658,1.514668,1.042867,1.465832,-196.7802,229.1945,-21.44019,-277.7189,10.56576,67.69565,0,0.3364627,0.3683101,15.67167,226.2064,20.2647,34.26665,-195.2147,-35.04302,0.2709872,-0.01763496,-0.2778003,46.88831,207.3548,86.23589,203.8337,49.33507,237.4553,0,0.2063894,0
386.9746,45136,left,1,-159.2629,294.0763,-23.02113,-69.48521,332.7127,105.5088,1.523402,1.051153,1.481661,-197.4044,235.5681,-20.25847,-280.9406,16.27876,64.76319,0,0.3995999,0.4510962,16.24119,222.9389,20.11781,36.16443,-180.0939,-4.052799,0.2450849,-0.0147698,-0.2777627,47.54861,205.6568,86.4225,203.9553,47.88272,238.4482,0,0.2430498,0
386.9904,45138,left,1,-159.8529,299.8839,-21.48677,-59.82772,370.6227,90.4681,1.520507,1.042137,1.477824,-198.4258,241.6253,-18.72481,-284.104,21.73676,62.53461,0,0.3896982,0.4644578,16.72461,220.9709,19.94972,26.35298,-95.08819,-11.15762,0.230796,-0.008779264,-0.278792,48.1503,204.5182,86.35149,204.6231,45.35921,236.8544,0,0.2811337,0
387.0072,45140,left,1,-160.8173,306.4102,-19.99327,-118.9618,377.6304,95.47686,1.509962,1.042556,1.457889,-199.1599,247.9668,-17.27442,-286.731,27.91961,61.49978,0,0.991447,0.6606029,17.09016,219.7124,19.67679,19.46804,-61.75518,-21.30378,0.2176809,-0.01075909,-0.279768,48.64175,203.9989,86.16056,204.9939,44.18692,236.0927,0,0.2776912,0
387.0237,45142,left,1,-162.4503,313.8571,-18.74539,53.77554,370.3851,90.83872,1.510248,1.046471,1.457001,-200.6748,255.2839,-16.04187,-290.6844,35.04873,59.3872,1,2.261015,0.7931951,17.46017,219.3652,19.13128,21.94964,-8.355943,-35.08179,0.220696,-0.01738021,-0.2786289,48.93135,203.3777,85.59017,204.5952,42.68003,235.2896,0,0.2830082,0
387.0402,45144,left,1,-162.1735,319.1049,-16.99489,-49.00289,331.8491,81.27558,1.520733,1.049833,1.47783,-200.5973,260.648,-15.16705,-291.7501,40.52817,59.21878,1,2.908036,0.8675971,17.87456,219.0455,18.63423,25.31708,-22.57697,-21.40756,0.228811,-0.02418925,-0.2733528,48.94892,202.3287,85.07886,202.4586,38.04674,233.1001,0,0.2817433,0
387.0567,45146,left,1,-161.8479,324.4842,-15.70246,24.75448,287.7414,69.62341,1.528479,1.063841,1.490319,-199.9274,265.7568,-14.32364,-294.8744,47.0093,59.36104,1,3.093811,0.8784831,18.20539,218.951,18.31486,17.50861,2.117375,-17.35842,0.2378539,-0.02928276,-0.269759,48.99221,201.5448,84.71581,201.0713,35.23038,231.9385,0,0.2749881,0
387.0733,45148,left,1,-163.0235,329.4294,-14.54119,-79.1107,287.5887,61.65349,1.52962,1.05615,1.493815,-201.5063,270.9639,-13.13723,-295.7641,51.23229,58.47494,1,3.141593,0.840876,18.36457,219.3397,17.99068,5.799855,31.37051,-19.81732,0.2506895,-0.03217627,-0.2716749,49.18085,201.109,84.17529,200.4424,33.57787,230.8575,0,0.2836621,0
387.0899,45150,left,1,-163.498,333.6975,-13.55186,3.961445,207.0499,60.67908,1.531894,1.062282,1.497029,-201.7512,275.0468,-12.25883,-296.2592,54.38182,56.07879,1,3.141593,0.7655158,18.40552,220.4556,17.57367,0.04671547,78.36597,-32.12088,0.2688461,-0.03477658,-0.2774994,49.43836,201.1063,83.3679,199.6805,32.06783,229.3652,0,0.3052175,0
387.1064,45152,left,1,-163.2461,337.2963,-12.73608,23.84265,208.5226,48.98343,1.537742,1.078235,1.506088,-200.8842,278.2019,-11.84431,-295.7552,56.47005,52.41527,1,3.141593,0.7341974,18.29336,222.1953,17.22853,-10.39729,97.65856,-15.44083,0.2870742,-0.03040993,-0.2882455,49.79055,201.8538,82.53721,199.1181,32.01506,228.5434,0,0.3516614,0
